x,y,z,u,v,w,p
2.07263,0,0.763636,-0.537704,-0.00017634,-0.162703,-2.22415
-2.36113,0,0.8,3.19641,6.12E-05,0.0688092,1.6035
2.25137,0,0.8,-0.407852,-0.000265256,-0.205314,-2.04461
2.23676,0,0.836364,-0.370036,-0.000240573,-0.210642,-2.05659
-2.36113,0,0.836364,3.22767,6.07E-05,0.0720786,1.59754
2.2167,0,0.872727,-0.334759,-0.000213516,-0.214765,-2.07366
-2.36113,0,0.872727,3.25891,6.02E-05,0.0753821,1.59117
2.18878,0,0.909091,-0.30343,-0.000183019,-0.217108,-2.09829
-2.36113,0,0.909091,3.29013,5.97E-05,0.0787177,1.58439
2.14967,0,0.945455,-0.278083,-0.000147643,-0.21686,-2.1339
-2.36113,0,0.945455,3.32135,5.92E-05,0.0820833,1.57717
2.0948,0,0.981818,-0.261645,-0.000105522,-0.212899,-2.18527
-2.36113,0,0.981818,3.35255,5.87E-05,0.085476,1.5695
2.07263,0,0.992269,-0.260492,-9.05E-05,-0.210291,-2.20645
2.07263,0,1.01818,-0.227662,-8.38E-05,-0.21592,-2.20309
-2.36113,0,1.01818,3.38375,5.82E-05,0.0888925,1.56135
2.07263,0,1.05455,-0.18076,-7.57E-05,-0.223892,-2.19777
-2.36113,0,1.05455,3.41493,5.77E-05,0.0923287,1.55271
2.07263,0,1.09091,-0.132903,-6.91E-05,-0.231932,-2.19182
-2.36113,0,1.09091,3.4461,5.72E-05,0.0957803,1.54356
2.07263,0,1.12727,-0.0839488,-6.39E-05,-0.24003,-2.18521
-2.36113,0,1.12727,3.47725,5.68E-05,0.0992421,1.53388
2.07263,0,1.16364,-0.0337326,-6.01E-05,-0.248176,-2.17795
-2.36113,0,1.16364,3.50839,5.63E-05,0.102708,1.52366
-2.36113,0,1.16471,3.5093,5.63E-05,0.10281,1.52334
-2.36113,0,1.2,3.53949,5.58E-05,0.106173,1.51287
2.07263,0,1.2,0.0179372,-5.77E-05,-0.256361,-2.17004
-2.36113,0,1.23636,3.57056,5.53E-05,0.109629,1.50151
2.07263,0,1.23636,0.0712819,-5.66E-05,-0.264575,-2.16148
-2.36113,0,1.27273,3.6016,5.49E-05,0.113069,1.48955
2.07263,0,1.27273,0.126556,-5.67E-05,-0.27281,-2.15227
-2.36113,0,1.30909,3.63258,5.44E-05,0.116486,1.47699
2.07263,0,1.30909,0.184051,-5.78E-05,-0.281057,-2.14242
-2.36113,0,1.34545,3.66352,5.39E-05,0.119871,1.46381
2.07263,0,1.34546,0.244103,-5.98E-05,-0.289312,-2.13196
-2.36113,0,1.38182,3.6944,5.34E-05,0.123217,1.45002
2.07263,0,1.38182,0.307094,-6.24E-05,-0.297569,-2.12092
-2.36113,0,1.41818,3.7252,5.29E-05,0.126515,1.43559
2.07263,0,1.41818,0.373462,-6.53E-05,-0.305821,-2.1093
-2.36113,0,1.45455,3.75594,5.25E-05,0.129756,1.42054
2.07263,0,1.45455,0.443694,-6.81E-05,-0.314065,-2.09712
-2.36113,0,1.49091,3.7866,5.20E-05,0.132931,1.40485
2.07263,0,1.49091,0.518331,-7.03E-05,-0.322293,-2.0844
-2.36113,0,1.52727,3.81717,5.15E-05,0.136032,1.38853
2.07263,0,1.52728,0.597968,-7.15E-05,-0.330495,-2.07114
-2.36113,0,1.56364,3.84765,5.10E-05,0.139049,1.37157
2.07264,0,1.56364,0.683245,-7.10E-05,-0.338654,-2.05732
-2.36113,0,1.6,3.87804,5.05E-05,0.141973,1.354
2.07264,0,1.60001,0.77483,-6.82E-05,-0.346742,-2.04293
-2.36114,0,1.63637,3.90832,5.00E-05,0.144796,1.33582
2.07264,0,1.63637,0.873397,-6.24E-05,-0.354717,-2.02795
-2.36114,0,1.67273,3.93849,4.95E-05,0.147509,1.31704
2.07264,0,1.67274,0.979594,-5.31E-05,-0.362518,-2.01235
-2.36114,0,1.70909,3.96855,4.90E-05,0.150103,1.29769
2.07264,0,1.7091,1.094,-3.97E-05,-0.370059,-1.9961
-2.36114,0,1.74546,3.99849,4.85E-05,0.152572,1.27777
2.07264,0,1.74547,1.21708,-2.18E-05,-0.377228,-1.97917
-2.36114,0,1.78182,4.02831,4.80E-05,0.154907,1.25732
2.07264,0,1.78184,1.34914,6.56E-07,-0.383888,-1.96157
-2.36114,0,1.81819,4.058,4.75E-05,0.157101,1.23636
2.07264,0,1.8182,1.49028,2.75E-05,-0.389876,-1.94329
-2.36114,0,1.85455,4.08757,4.70E-05,0.15915,1.21492
2.07264,0,1.85457,1.64041,5.82E-05,-0.395014,-1.92434
-2.36114,0,1.89091,4.117,4.65E-05,0.161047,1.19304
2.07264,0,1.89094,1.79916,9.17E-05,-0.39912,-1.90471
-2.36114,0,1.92728,4.14629,4.60E-05,0.162788,1.17075
2.07264,0,1.92731,1.96583,0.000126905,-0.402019,-1.88441
-2.36114,0,1.96364,4.17545,4.55E-05,0.164369,1.14807
2.07264,0,1.96367,2.13936,0.000162291,-0.403554,-1.86342
-2.36115,0,2.00001,4.20446,4.50E-05,0.165789,1.12507
2.07263,0,2.00004,2.31834,0.000196304,-0.403603,-1.84177
0.607283,0,1.982,0.578293,0.000115484,0.103807,-2.77721
0.597915,0,1.96382,0.381106,4.46E-05,0.170291,-2.8292
0.635342,0,1.96376,0.474602,-7.33E-05,0.15126,-2.80338
0.616631,0,1.96379,0.48435,0.000216818,0.14381,-2.80453
-2.36115,0,2.03637,4.23333,4.45E-05,0.167044,1.10176
2.07263,0,2.0364,2.50123,0.000227458,-0.402087,-1.81958
-2.36115,0,2.07273,4.26204,4.40E-05,0.168133,1.0782
2.07262,0,2.07277,2.68649,0.000254448,-0.398982,-1.797
-2.36115,0,2.1091,4.29061,4.35E-05,0.169058,1.05442
2.07261,0,2.10913,2.87263,0.000276199,-0.394312,-1.77412
-2.36115,0,2.14546,4.31902,4.30E-05,0.169817,1.03047
2.0726,0,2.14549,3.05799,0.000291946,-0.388145,-1.75097
-2.36115,0,2.18182,4.34728,4.25E-05,0.170414,1.0064
2.07258,0,2.18185,3.24083,0.000301281,-0.380583,-1.72756
